ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_ReducedNoise,Intensity_IntegratedIntensityEdge_ReducedNoise2,Intensity_IntegratedIntensity_ReducedNoise,Intensity_IntegratedIntensity_ReducedNoise3,Intensity_LowerQuartileIntensity_ReducedNoise,Intensity_LowerQuartileIntensity_ReducedNoise4,Intensity_MADIntensity_ReducedNoise,Intensity_MADIntensity_ReducedNoise5,Intensity_MassDisplacement_ReducedNoise,Intensity_MassDisplacement_ReducedNoise6,Intensity_MaxIntensityEdge_ReducedNoise,Intensity_MaxIntensityEdge_ReducedNoise7,Intensity_MaxIntensity_ReducedNoise,Intensity_MaxIntensity_ReducedNoise8,Intensity_MeanIntensityEdge_ReducedNoise,Intensity_MeanIntensityEdge_ReducedNoise9,Intensity_MeanIntensity_ReducedNoise,Intensity_MeanIntensity_ReducedNoise10,Intensity_MedianIntensity_ReducedNoise,Intensity_MedianIntensity_ReducedNoise11,Intensity_MinIntensityEdge_ReducedNoise,Intensity_MinIntensityEdge_ReducedNoise12,Intensity_MinIntensity_ReducedNoise,Intensity_MinIntensity_ReducedNoise13,Intensity_StdIntensityEdge_ReducedNoise,Intensity_StdIntensityEdge_ReducedNoise14,Intensity_StdIntensity_ReducedNoise,Intensity_StdIntensity_ReducedNoise15,Intensity_UpperQuartileIntensity_ReducedNoise,Intensity_UpperQuartileIntensity_ReducedNoise16,Location_CenterMassIntensity_X_ReducedNoise,Location_CenterMassIntensity_X_ReducedNoise17,Location_CenterMassIntensity_Y_ReducedNoise,Location_CenterMassIntensity_Y_ReducedNoise18,Location_CenterMassIntensity_Z_ReducedNoise,Location_CenterMassIntensity_Z_ReducedNoise19,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_ReducedNoise,Location_MaxIntensity_X_ReducedNoise20,Location_MaxIntensity_Y_ReducedNoise,Location_MaxIntensity_Y_ReducedNoise21,Location_MaxIntensity_Z_ReducedNoise,Location_MaxIntensity_Z_ReducedNoise22,Number_Object_Number
2,26,5548,9604,189,390,91,292,135.18385003604902,344.0425379,5548,-1.59E-12,2989122.473,11767014.699919777,2.034994395216927e-11,47797.61139149301,15506818.99,585795219.4573145,2467051.9610670516,-2625598.853,1028015883.6587969,3908766702.3900914,1.6592721293991377,6548,0.42107386609966063,84.04720693866443,1,0.5776759683465222,0.6026738967538279,0.17726187610201255,0.000297327,0.000642587,2.6120406851294043e-05,2.353721806566411e-09,1.754520624769694e-07,2.4314089327725766e-09,539.5570393266681,443.8918492872974,538.7747788325937,-8.615286841,-8.615286841,444.6741097813719,92.91346850283166,105.70241246064349,32.202484376209235,11.36050538,9.899494936611665,86.99397540742979,84.27496418626802,nan,nan,0.097111532,0.005132455,nan,0.001552864,0.006763657,0.003430334,0.080150344,-0.001145216,0.006019917,0.0003073,-0.00356642,-0.001868297,0.000899861,9.791758145956048e-05,84.81182017615734,340.11984104714446,0.8472816127061699,5548,245132,13819998,886529612,288732,12805089,738958353,49058432301,17493398,775275093,45096305405,3.04275E+12,0.6068660402139172,0.045591427,0.18982979136423903,0.022637420167379806,0.020296653310240984,0.036600232137962124,0.015723475732586974,0.014100675473623562,0.035341851,0.019839232985704655,0.020581025,0.012791128238420569,0.016199293,0.0090922,0.026665495977135512,0.020592516567244246,0.009428601,0.003734458,0.00530147,0.013481343220150096,0.002967626,0.005086295,0.001366737,0.011238299491043352,0.008985935,0.007281777,0.010175908226964871,0.008707705,0.011106986573555478,0.003359897,27.570024728775024,27.570024728775024,1021.8348883725703,1021.8348883725703,0.1480550915002823,0.1480550915002823,0.0231518,0.0231518,0.7346297083989037,0.7346297083989037,0.2251836061477661,0.2251836061477661,0.24857895076274872,0.24857895076274872,0.095069051,0.095069051,0.18418076574848058,0.18418076574848058,0.21024595201015472,0.21024595201015472,0.052361633628606796,0.052361633628606796,0.052361633628606796,0.052361633628606796,0.043121936037520715,0.043121936037520715,0.055240864,0.055240864,0.22742970287799835,0.22742970287799835,135.91278905874142,135.91278905874142,343.9512760869843,343.9512760869843,0,0,135.18385003604902,344.0425379,0,137,137,359,359,0,0,26
2,38,4039,6888,549,445,465,363,506.0453082,404.53998514483783,4039,2.802380549837835e-11,1641816.7085912356,2755971.125193278,1.0459189070388675e-11,538978.1827184946,10085753.578887118,496177351.68158126,1438869.2923991089,6341308.574,588368173.9874309,8828078617,1.732468849511373,4677,0.7246612118312438,71.71202494132572,1,0.5863821138211383,0.577210955,0.18884249457798502,0.004520998,0.001368565,0.000106266,3.805098780114335e-08,6.86756994561472e-06,-1.39E-08,517.1553004610671,245.57953513941425,406.4908909609397,-133.4434718,-133.4434718,356.2439446395416,90.96419519,95.41488354,24.596747752497688,9.074313285,8.062257748,68.72999235762785,62.683909914990366,nan,nan,0.10064146842310961,0.002658215,nan,0.03303874,0.009728004,0.007530354,0.088201026,0.006116377,0.00892951,0.00210818,-0.004317635,0.006181826,0.001598683,0.001499216,50.33114903068146,296.53405460951757,0.8635877699379945,4039,165782,8446390,484218398,167780,7425560,405193720,24576598658,8408448,396246940,22621660072,1.41909E+12,0.5546292940862407,0.07852262,0.16740177458911054,0.073223211,0.018737083337722588,0.022820479,0.004598807,0.028332625875372466,0.013354699060486723,0.023985311040809185,0.024101338,0.012588821132202653,0.00614097,0.009610751,0.007869569,0.024353003595485315,0.002225962,0.018846622091195354,0.006274241,0.002544643,0.006948976,0.002642011,0.010690092,0.015296045307407231,0.010313341532953926,0.010524635479320367,0.010949419,0.003926648,0.003288813,0.009958956,27.301414787769318,27.301414787769318,712.7504333,712.7504333,0.11950059980154037,0.11950059980154037,0.036961525678634644,0.036961525678634644,1.0223048467484068,1.0223048467484068,0.2406000941991806,0.2406000941991806,0.2451331466436386,0.2451331466436386,0.11098136092589153,0.11098136092589153,0.1764670545385155,0.1764670545385155,0.20064248889684677,0.20064248889684677,0.051350031048059464,0.051350031048059464,0.051350031048059464,0.051350031048059464,0.049971874,0.049971874,0.059747739,0.059747739,0.23131496086716652,0.23131496086716652,505.08850724457784,505.08850724457784,404.90003937132764,404.90003937132764,0,0,506.0453082,404.53998514483783,0,490,490,400,400,0,0,38
6,14,3949,5810,1016,311,946,228,978.5948341352241,270.74879716383896,3949,2.2168933355715126e-11,959361.7346163585,1785854.535520988,-3.21E-11,209238.07546214238,2329575.4863202935,112039753.86744799,1744458.8067865286,-2753871.478,308236165.83344907,-596484901.2,1.344382781756687,4246,0.7036713602634648,70.90855351901601,1,0.6796901893287436,0.7438357687780808,0.17338183525201362,0.003254634,0.00025163,7.712548542930346e-06,3.144868883131427e-10,4.2763718657435085e-07,-1.29E-10,454.9864815400248,229.69838587017702,242.9378917742108,-52.98507862,-52.98507862,441.7469756,85.32164851,83.19855767980596,26.90724809414742,10.304313125159721,9.219544457292887,64.75661690290589,60.62321481019323,nan,nan,0.061518838,0.001822335,nan,0.013417340749028615,0.002377163,0.001819327,0.11186299712230717,-0.002810126,0.005005209,-0.000154133,-0.004972701,0.002648006,7.295281206752256e-05,0.000251327,14.029359470032674,258.2914139223983,0.9300518134715026,3949,128717,5154871,232348493,168815,5711735,236334271,10939352897,8961097,307220951,12767758555,5.91858E+11,0.7238049474564031,0.046204402,0.14721379012603647,0.096541067,0.014438826955528106,0.022139221,0.027794681536022325,0.00509421,0.008019809,0.005907983,0.017712725514983464,0.010337962045360695,0.006024131,0.017449902,0.022656696961799963,0.007803982,0.007040877,0.014559462675129736,0.004677549,0.005271737,0.001714601,0.000967101,0.006247833,0.004525738,0.003242272,0.004382282,0.002242472,0.011314027322865594,0.00712969,0.00422987,1.4833201109431684,1.4833201109431684,58.45893001649529,58.45893001649529,0.009710694,0.009710694,0.004585447,0.004585447,0.7173746062474226,0.7173746062474226,0.020780627,0.020780627,0.029856054112315178,0.029856054112315178,0.007097225,0.007097225,0.014803476833754188,0.014803476833754188,0.014791908673942089,0.014791908673942089,0.00408547,0.00408547,0.00408547,0.00408547,0.003466387,0.003466387,0.005939416,0.005939416,0.018827755469828844,0.018827755469828844,978.1391453621186,978.1391453621186,271.30284956908076,271.30284956908076,0,0,978.5948341352241,270.74879716383896,0,988,988,288,288,0,0,14
2,18,3364,5490,207,310,146,220,178.80083234244947,267.20659928656363,3364,-4.04E-12,682330.5577,-662820.8861,7.73070496506989e-12,190244.4215219973,-451029.5039,58378338.03632138,1493553.4134958389,1192955.4090619518,327724961.94286823,407481047.31534326,1.8465532241941829,4098,0.7637834889352365,65.44599169153973,1,0.6127504553734062,0.5415495133839914,0.19227541556726394,0.006269209,4.177483707684732e-05,7.634679394033775e-06,1.0452013899594875e-10,3.1024421628932845e-07,-8.76E-11,456.5852160155531,190.22928195272277,202.83310275548186,-56.5530385,-56.5530385,443.9813952,85.47141894369632,97.57561170702442,24,8.532699753648531,7.280109889280518,59.17172761690034,55.16945270023588,nan,nan,0.060295214850024335,-0.001009848,nan,0.016811248,-0.000687171,0.0015335,0.1319802007172396,0.001817541,0.008608779,0.000184549,-0.001955235,0.00796899,-0.000541918,0.000839181,12.564021704361139,279.3919189857867,0.8208882381649585,3364,110342,4301640,185196572,158803,5399115,215095117,9370545111,8990103,314037401,12734663223,5.61214E+11,0.4498663825742135,0.0250247,0.2025868778053816,0.051507122,0.010116578211703389,0.011222501810802962,0.029721671450058294,0.037088194,0.025946264873448303,0.007631482,0.009376259,0.005077425,0.018895960421921962,0.014457584314622221,0.020414469,0.016138101502404963,0.005649706,0.000404837,0.010220293669146546,0.001449191,0.012891558286421306,0.011189832274299519,0.013980387756580562,0.013890661528351929,0.010227856606675828,0.00234408,0.004274896,0.010098179498317088,0.001545771,0.001030454,23.89831092581153,23.89831092581153,574.8340793401003,574.8340793401003,0.11325667798519135,0.11325667798519135,0.038995593786239624,0.038995593786239624,0.5970418281266281,0.5970418281266281,0.2259128987789154,0.2259128987789154,0.24530775845050812,0.24530775845050812,0.10256785805069325,0.10256785805069325,0.17087814486923314,0.17087814486923314,0.1902148276567459,0.1902148276567459,0.05446329,0.05446329,0.05446329,0.05446329,0.050502661,0.050502661,0.058327038,0.058327038,0.22261355817317963,0.22261355817317963,179.04600317055545,179.04600317055545,267.7509798607749,267.7509798607749,0,0,178.80083234244947,267.20659928656363,0,180,180,280,280,0,0,18
4,22,3049,3933,1314,930,1257,861,1284.8596261069204,894.9212856674319,3049,-4.49E-12,610145.92,-42987.89193,-8.87E-12,-75765.68973,167622.9084,-33134733.24,907003.1085601837,13906.51785093997,122605366.40231048,-6078623.815,1.1056612991392125,3099,0.600194118,62.30655962174056,1,0.7752351894228324,0.9044361060466956,0.16319745980556838,0.001285374,2.206940185210896e-06,3.218223898232774e-08,4.078619400907437e-15,5.083171782250667e-10,-7.54E-15,303.45106873274636,194.13798621443166,200.1134536,24.849357079153542,24.849357079153542,297.4756014,69.67938791151902,69.12307863514182,27.65863337187866,10.372929649658795,9.219544457292887,55.02363129,55.733363252462226,nan,nan,0.065632487,-8.37E-05,nan,-0.008150002,0.000326543,-0.001168991,0.097564973,2.7090987550113855e-05,0.004325509,-3.88E-06,-0.000496756,-0.001433782,2.710806803405259e-05,-0.0001551,-13.52106755,205.82337649086287,0.983865763,3049,84944,2976654,116882354,103426,2805644,96917946,3769256108,4415346,117883656,3977423602,1.51111E+11,0.8118105073562494,0.011033867288885262,0.13583391048635252,0.074002067,0.005245654,0.005236345,0.063133535,0.02275479,0.010353832905745586,0.001981649,0.004508232,0.001462551,0.008505119,0.011663727975988353,0.015672494682807726,0.001868219,0.002135938,0.004242872,0.00195407,0.001075151,0.010876544,0.017484484548283497,0.008217921,0.005396423,0.00040734,0.000763441,0.003286862,0.002802317,0.001252423,0.000624038,3.912012044340372,3.912012044340372,212.71634872443974,212.71634872443974,0.03444418,0.03444418,0.027982130646705627,0.027982130646705627,0.20188688061005172,0.20188688061005172,0.026714385,0.026714385,0.1584322303533554,0.1584322303533554,0.022227341,0.022227341,0.069765939,0.069765939,0.058018986,0.058018986,0.018930543214082718,0.018930543214082718,0.018930543214082718,0.018930543214082718,0.001718155,0.001718155,0.040755279,0.040755279,0.099876523,0.099876523,1285.0400610419092,1285.0400610419092,894.8307232756899,894.8307232756899,0,0,1284.8596261069204,894.9212856674319,0,1285,1285,896,896,0,0,22
1,42,2669,4212,782,968,701,916,746.4005245410266,938.6789059572874,2669,1.3983481039758772e-11,1090076.8392656427,-5300842.066,-1.45E-11,189340.24953165976,913562.8259652699,144573153.83450007,389611.8224053953,2703791.740613438,150446945.4044127,1290618620.2094405,1.564052267,3011,0.8364952182282955,58.29473685418049,1,0.6336657169990503,0.6393648223273627,0.2077175532954709,0.012494800361369258,0.001352318,7.4967388246904e-05,-3.55E-09,-1.34E-06,-2.36E-08,426.3696756601561,128.02847408545583,408.4214459594015,-70.94052062,-70.94052062,145.97670378621032,82.59488368272272,83.81527307120105,18.973665961010276,7.627561913,7.0710678118654755,49.32865612608281,45.25986727076531,nan,nan,0.15302414610693202,-0.014403679,nan,0.026579438223615935,0.002482373,0.007603997,0.054693407188538885,0.007346861,0.007912936,0.001313947,0.002534469,0.00353333,0.000865669,0.000833654,75.80188374713228,229.03657992645927,0.8864164729325805,2669,121174,6591440,392934112,60530,2937434,167592504,10351126322,1762366,91304192,5410460578,3.42366E+11,0.4832058962301179,0.099782674,0.13744977624098542,0.071215954,0.062076234,0.019527147,0.010928060262321805,0.039715699,0.021959638015280194,0.018668333731003434,0.016754903109039505,0.009451985,0.001951348,0.007221177,0.014383321,0.019768774776306057,0.005773418,0.010432885697896055,0.006735576,0.005816654,0.003452844,0.008994163,0.00237831,0.009528338,0.006881711,0.000882342,0.013044478,0.005689924,0.003036587,0.003191929,4.7747339233756065,4.7747339233756065,105.86630310118198,105.86630310118198,0.030580339021980762,0.030580339021980762,0.008609977,0.008609977,0.49807815640867287,0.49807815640867287,0.051379382610321045,0.051379382610321045,0.067140125,0.067140125,0.024739554007127493,0.024739554007127493,0.039665157,0.039665157,0.040189369,0.040189369,0.017590824514627457,0.017590824514627457,0.017590824514627457,0.017590824514627457,0.007150218,0.007150218,0.011248073380060121,0.011248073380060121,0.047751751728355885,0.047751751728355885,746.4893866743148,746.4893866743148,939.1689930629726,939.1689930629726,0,0,746.4005245410266,938.6789059572874,0,767,767,954,954,0,0,42
2,78,2538,4320,1201,838,1129,778,1161.1611505122144,811.4011032308905,2538,-3.25E-12,958849.0894405039,4150937.312780805,9.670486633694964e-12,228313.94877856565,933776.2757679817,142811949.9713627,430059.6769109536,-1070117.064,164873041.12337735,836242680.2463291,1.908155219965923,3125,0.8181402553790983,56.84612532563537,1,0.5875,0.5240663807307346,0.21562071584437548,0.011764314019476432,0.000728176,9.977270426928167e-05,1.3480861076397864e-09,2.4280508449542035e-06,-2.69E-08,411.26277155353074,135.98260525949425,377.79711955890616,-89.95821465,-89.95821465,169.44825725411883,81.11845871844763,80.72174428244226,18,6.749422464106604,6.324555320336759,49.014301971494085,46.64463188998181,nan,nan,0.14885623308073528,0.012791372030175987,nan,0.035444529,0.00287749,0.008735539,0.066764483,-0.003297632,0.010084974290381224,0.00101534,-0.005982584,0.00662453,-9.18E-05,0.001468878,69.59412973,246.69343417595167,0.81216,2538,81625,3584003,181091977,84772,2954679,135329109,6990040203,3261538,119076573,5582716967,2.92647E+11,0.4948670696076328,0.096653863,0.125333694,0.087474573,0.048251084,0.026007300022468392,0.003225036,0.037450103,0.014390646,0.028188725694027108,0.006618407,0.003354372,0.011403889217694904,0.011345374452516611,0.019206753061940217,0.017834877679934254,0.006225811,0.014374238576647082,0.002399519,0.002814797,0.010885529109276636,0.007901108,0.006575139,0.013802672404285607,0.008509633,0.002109488,0.015919548,0.003524854,0.004996799,0.0008406,22.66736877,22.66736877,416.80723929032683,416.80723929032683,0.11735540628433228,0.11735540628433228,0.04562746,0.04562746,2.161121829520219,2.161121829520219,0.18496136367321014,0.18496136367321014,0.2397092580795288,0.2397092580795288,0.1084563098847866,0.1084563098847866,0.16422665062660632,0.16422665062660632,0.16859592497348785,0.16859592497348785,0.057932019,0.057932019,0.057932019,0.057932019,0.032145357,0.032145357,0.049462827,0.049462827,0.20487180352210999,0.20487180352210999,1159.0322758367338,1159.0322758367338,811.0291621359221,811.0291621359221,0,0,1161.1611505122144,811.4011032308905,0,1145,1145,804,804,0,0,78
7,11,2461,3808,962,339,906,271,933.1076798049573,300.30922389272655,2461,-2.66E-12,431436.4648516864,-157667.0558,-3.03E-11,65074.05566842756,-377725.6101,24006729.303354535,562559.6806176353,110977.4386,59660017.104818635,-22705087.89,1.204918718483094,2556,0.5598802011259058,55.97716069606635,1,0.6462710084033614,0.8299315004906953,0.16411998661761787,0.000930493,4.84029071819718e-05,3.031497992560532e-06,3.2137474710620797e-11,5.300424227219183e-08,1.7766794020666498e-11,239.48479464728152,164.41449241867608,175.30941278004323,-26.44211933,-26.44211933,228.58987428591436,61.90118508038844,67.18630813,25.45584412271571,9.141942724644599,8.062257748,50.53513629149525,51.28968589003853,nan,nan,0.071235032,-0.000524761,nan,0.010744461328281956,-0.00125718,0.001610639,0.092884955,0.000369365,0.004002658,-3.07E-05,0.002991351,0.001761841,-0.000228672,0.00017389,22.393082203867326,193.0365799264593,0.9628325508607198,2461,66712,2239844,83949790,72130,2020351,68798377,2597246509,2676634,76482855,2587819873,96410667873,0.6941609480711641,0.10199319546676792,0.16729754284185192,0.043773958369381534,0.014813084843830926,0.004688528,0.034811021,0.024402380618562886,0.014159230579527454,0.029860471294873948,0.018402988673154506,0.010254056232724545,0.006265431,0.005698732,0.004149735,0.007616665,0.006767581,0.007145404,0.011770119975811332,0.003549854,0.001099618,0.013515475268754502,0.004686713,0.007724609,0.002281847,0.00990984,0.006131897,0.007450543,0.004027613,0.003281427,3.9316767528653145,3.9316767528653145,126.34900437667966,126.34900437667966,0.032168984,0.032168984,0.015777688,0.015777688,0.4907987037968651,0.4907987037968651,0.045007955,0.045007955,0.1042112410068512,0.1042112410068512,0.025042527088314104,0.025042527088314104,0.051340514,0.051340514,0.045050399377942085,0.045050399377942085,0.019887056201696396,0.019887056201696396,0.019887056201696396,0.019887056201696396,0.006202043,0.006202043,0.022974365,0.022974365,0.067710474,0.067710474,933.1501988401895,933.1501988401895,299.82027041918167,299.82027041918167,0,0,933.1076798049573,300.30922389272655,0,933,933,298,298,0,0,11
8,3,2351,3016,1085,458,1033,400,1056.8681412165035,427.9111016588686,2351,-1.17E-11,391935.1237771161,459391.65578128747,-1.43E-11,-9014.558486,-320100.2813,-5409217.045,501636.4202467034,-545836.1406,56284788.75419513,-140403241,1.0999427992497441,2399,0.47042103719002454,54.71184670318091,1,0.7795092838196287,0.9091381848966021,0.16166800230782624,0.000404564,8.816028751100763e-05,2.7441793421783884e-07,7.236948351826772e-13,2.1851155211455015e-09,1.1393448902339653e-12,213.68449343915108,166.39697998654842,166.7099633250175,3.8343506957680726,3.8343506957680726,213.3715101,58.47180427373878,58.463663928973865,24.698178070456937,9.091480223,8.062257748,51,51.59798135377754,nan,nan,0.070910235,0.001714161,nan,-0.001630945,-0.001194413,-0.000416271,0.090757767,-0.002036717,0.004331448,-0.00022284,0.001607178,-3.44E-05,-6.63E-05,-3.27E-05,-4.666489033,180.2670273047588,0.9799916631929971,2351,56114,1731272,60491162,65619,1557189,47571287,1644638697,2333135,54638547,1622826861,54460867539,0.8757712608754733,0.044624699,0.092137727,0.047227756,0.020766616,0.030747038,0.048248434196973194,0.014845815,0.018022070826610573,0.004033452,0.005694268,0.009267217,0.015507655525810606,0.006222063,0.017488798,0.004703762,0.006978345,0.008532139,0.005537561,0.002183433,0.002373691,0.010381911,0.008392486,0.000743298,0.001814996,0.003999259,0.005657306,0.004054935,0.00371338,0.001707414,10.874238070100546,10.874238070100546,396.0866669677198,396.0866669677198,0.11691062524914742,0.11691062524914742,0.049350276589393616,0.049350276589393616,1.178142772087965,1.178142772087965,0.11081209778785706,0.11081209778785706,0.24546514451503754,0.24546514451503754,0.070156375,0.070156375,0.16847582601774555,0.16847582601774555,0.17928212881088257,0.17928212881088257,0.036939889,0.036939889,0.036939889,0.036939889,0.017669137429583794,0.017669137429583794,0.058550217,0.058550217,0.2235851287841797,0.2235851287841797,1057.1974071201391,1057.1974071201391,426.77990567402503,426.77990567402503,0,0,1056.8681412165035,427.9111016588686,0,1057,1057,418,418,0,0,3
1,5,2307,3024,469,207,413,153,439.8391851,180.69830949284784,2307,-5.00E-12,441595.3376679672,409489.9395533731,1.7919887795869727e-11,14216.072821846526,372679.4339114928,2050514.8607597614,411862.0234,-388448.9695,51344904.54703591,-36232476.73,1.0991729344193446,2347,0.30327088654433804,54.19745039855676,1,0.7628968253968254,0.9097749486783585,0.16035652617436524,5.974853145025233e-05,7.527217620556877e-05,8.382906716255716e-08,-1.76E-14,-6.37E-10,2.0984126129900374e-13,193.88748199036831,176.05502389389227,191.41540427740233,-6.162146867,-6.162146867,178.52710160685825,55.69739412078354,55.94640292279746,25.238858928247925,9.116565494444137,8.062257748,51.42956348249516,53.07429116156217,nan,nan,0.082971567,0.001601859,nan,0.002671065,0.001457862,0.000167001,0.07738496,-0.00151955,0.004181716,-6.14E-05,-0.001735449,0.00070964,7.749262651303574e-05,4.466614590821091e-05,68.14075001137984,178.5096679918781,0.9829569663400085,2307,61918,2103424,80567794,63900,1729240,59397064,2294370742,2181784,58956378,2003832362,76510238448,0.889805421,0.039390236936913466,0.088654746,0.017173580240584168,0.021330666202129166,0.035267665,0.055759618,0.006236196,0.012605814999568647,0.002560818,0.016566721854088053,0.009786265,0.025277728801461796,0.005420732,0.004378778,0.005851983,0.008533586,0.005539414,0.006176818,0.003798782,0.006403309,0.005924237,0.007522239,0.00178241,0.003356553,0.009602507,0.005064154,0.004734883,0.002112464,0.002563476,3.1827629134058952,3.1827629134058952,122.45359484478831,122.45359484478831,0.029899634886533022,0.029899634886533022,0.020258129574358463,0.020258129574358463,0.815747834,0.815747834,0.029058396816253662,0.029058396816253662,0.10829479247331619,0.10829479247331619,0.02093923,0.02093923,0.053079148,0.053079148,0.047465674579143524,0.047465674579143524,0.015081587247550488,0.015081587247550488,0.015081587247550488,0.015081587247550488,0.002861336,0.002861336,0.025765395612440452,0.025765395612440452,0.075218292,0.075218292,439.92315933352467,439.92315933352467,181.50972360123478,181.50972360123478,0,0,439.8391851,180.69830949284784,0,431,431,180,180,0,0,5
